x,y,z,elevation,aspect,slope,twi
-97.125,36.375,0.279416621,310,3.29761076,0.004745398,12.11384392
-96.875,36.375,0.294984132,283,3.511328936,0.008842665,12.3731823
-96.625,36.375,0.30156514,249,0.377208352,0.009795542,11.97331715
-96.375,36.375,0.268274784,247,1.788075566,0.013534064,12.45071888
-96.125,36.375,0.255822778,262,4.126006603,0.01311455,11.11088181
-95.875,36.375,0.345709741,199,1.151249647,0.004605556,12.3359623
-95.625,36.375,0.350565314,205,5.71183157,0.009804836,11.56447029
-95.375,36.375,0.338062614,212,2.055012941,0.013820103,11.46342182
-95.125,36.375,0.334468782,196,1.565748453,0.014030571,19.77764511
-94.875,36.375,0.319553584,291,3.480037451,0.025094433,11.34669971
-94.625,36.375,0.31814006,328,2.192307711,0.00195394,13.14839077
-94.375,36.375,0.300906092,399,0.512556672,0.008496174,11.62697983
-94.125,36.375,0.345396876,395,5.603252411,0.011050675,11.43109989
-101.375,36.125,0.228985474,978,1.036014915,0.002681992,14.20038891
-101.125,36.125,0.22944665,945,1.456122398,0.002598716,13.94080925
-100.875,36.125,0.232570231,925,1.177820086,0.002799005,12.83420753
-100.625,36.125,0.188086972,877,1.152729154,0.005045572,11.89277458
-100.375,36.125,0.190058798,824,4.727046013,0.008215912,11.79055214
-100.125,36.125,0.116199709,791,4.06986618,0.006515054,11.01087284
-99.875,36.125,0.186422348,740,2.39880228,0.012374566,12.82271767
-99.625,36.125,0.138400197,760,3.481874466,0.003502589,12.0840683
-99.375,36.125,0.141426995,693,2.941142559,0.016650164,11.69180775
-99.125,36.125,0.215001404,583,1.766241074,0.006743259,11.67358398
-98.875,36.125,0.1370278,540,0.313549012,0.010032251,12.30257988
-98.625,36.125,0.14979884,496,0.481500059,0.007694212,12.42133808
-98.375,36.125,0.245614097,378,0.957963645,0.003272941,14.78452015
-98.125,36.125,0.225874126,356,4.088122845,0.004959691,14.43593025
-97.875,36.125,0.24926576,354,1.689816475,0.00310511,12.62624454
-97.625,36.125,0.259965539,316,3.866503239,0.005986955,12.26217747
-97.375,36.125,0.294877529,331,4.81085825,0.011111709,11.45193577
-97.125,36.125,0.287461638,276,3.474903822,0.006153976,13.47501087
-96.875,36.125,0.298852354,269,4.729456902,0.00375086,17.09020996
-96.625,36.125,0.336314589,273,2.507347584,0.005026236,11.47148991
-96.375,36.125,0.281573206,259,0.926249087,0.011382469,10.72737694
-96.125,36.125,0.286737233,199,3.725601912,0.008775151,21.57494926
-95.875,36.125,0.35312748,201,1.25118947,0.007629314,14.01128769
-95.625,36.125,0.310699046,167,3.195767879,0.001209948,16.23200226
-95.375,36.125,0.344412863,183,0.774865091,0.001242442,15.12865353
-95.125,36.125,0.348449528,271,0.076680668,0.015004818,10.24902153
-94.875,36.125,0.330658525,334,1.999533772,0.017488729,10.86466789
-94.625,36.125,0.323460966,295,5.724849701,0.017974911,15.48657513
-94.375,36.125,0.339878798,340,1.109930038,0.019598881,12.59433174
-94.125,36.125,0.348231524,387,4.352498055,0.00694065,12.60155964
-101.375,35.875,0.182995766,937,1.410660148,0.011525812,12.74374294
-101.125,35.875,0.115863994,803,5.396225929,0.011734781,14.70275402
-100.875,35.875,0.193132848,833,1.526670933,0.020230828,11.85306358
